experiment_id	organism	assembly_accession	sequence_accession	window_index	window_start_nt	window_length_nt	output_bits	mapping	window_sha256	raw_fasta_sha256	selection_score	selection_scheme	sequence_file	config_file
dna-bacillus_168-w00	Bacillus subtilis 168	GCF_000009045.1	NC_000964.3	0	3200000	400000	800000	acgt_2bit	e97d6024a2a12dd73f74783b7cfd12e06ab5439d092659ee0c10bba5911f3da3	59c09816fb55fb1a0b42d0715f627bb42018a19c6bf933c9cb37f6058ee4737e	04e4d90184b3c4bc0169ab4414dcbf9528335de1e361beeafbf51c0d64259606	BIOENTROPY-HPC-DNA-WINDOW-SELECTION-v1	datasets/processed/dna/GCF_000009045.1/window_00.dna	configs/campaigns/dna/reference/dna-bacillus_168-w00.yaml
dna-bacillus_168-w01	Bacillus subtilis 168	GCF_000009045.1	NC_000964.3	1	800000	400000	800000	acgt_2bit	3a027136160eb80fe4fccec35657e0ff05b6183b9f2508a58da6e10c964e4525	59c09816fb55fb1a0b42d0715f627bb42018a19c6bf933c9cb37f6058ee4737e	0aff05177c1d213f29cbb9bb5a381efc50ab587f1797bc74bbf776466f7d0764	BIOENTROPY-HPC-DNA-WINDOW-SELECTION-v1	datasets/processed/dna/GCF_000009045.1/window_01.dna	configs/campaigns/dna/reference/dna-bacillus_168-w01.yaml
dna-bacillus_168-w02	Bacillus subtilis 168	GCF_000009045.1	NC_000964.3	2	2400000	400000	800000	acgt_2bit	9e9126eccf8ac933c9469851f0bf113e3cb5f81e9c7702e7aaeb663c658255c5	59c09816fb55fb1a0b42d0715f627bb42018a19c6bf933c9cb37f6058ee4737e	1efb51b090e0df67fc01fb4fc011ae6a7fc11b3d9a4c996afb1727c9498bd557	BIOENTROPY-HPC-DNA-WINDOW-SELECTION-v1	datasets/processed/dna/GCF_000009045.1/window_02.dna	configs/campaigns/dna/reference/dna-bacillus_168-w02.yaml
dna-bacillus_168-w03	Bacillus subtilis 168	GCF_000009045.1	NC_000964.3	3	400000	400000	800000	acgt_2bit	ecb816a69befad7094937ca54aa0e8e353d4be04ced9ecbd4f08f9dce4a18e76	59c09816fb55fb1a0b42d0715f627bb42018a19c6bf933c9cb37f6058ee4737e	52e3b51e47917d4c155eb60ba2bf53855dfa245b636aae8dd1cb2db8bfb2bd9d	BIOENTROPY-HPC-DNA-WINDOW-SELECTION-v1	datasets/processed/dna/GCF_000009045.1/window_03.dna	configs/campaigns/dna/reference/dna-bacillus_168-w03.yaml
dna-bacillus_168-w04	Bacillus subtilis 168	GCF_000009045.1	NC_000964.3	4	3600000	400000	800000	acgt_2bit	d557035fe90e0de3980fd177d7333d6c430445a3c636b7110b0d35e0ac3d0feb	59c09816fb55fb1a0b42d0715f627bb42018a19c6bf933c9cb37f6058ee4737e	6aed4b52c05731b118894064b872b9e20d1204e257349c573e451b29aef368ba	BIOENTROPY-HPC-DNA-WINDOW-SELECTION-v1	datasets/processed/dna/GCF_000009045.1/window_04.dna	configs/campaigns/dna/reference/dna-bacillus_168-w04.yaml
dna-bacillus_168-w05	Bacillus subtilis 168	GCF_000009045.1	NC_000964.3	5	2000000	400000	800000	acgt_2bit	63d1b8f2c27d33fdcce501cdbbd76d10f5b542f24d960223d03ae0db35f2d9f8	59c09816fb55fb1a0b42d0715f627bb42018a19c6bf933c9cb37f6058ee4737e	7d31d5c2d6cafb3da8e71a7dac0f979e1083325d47a6373b924a746fb8541ff5	BIOENTROPY-HPC-DNA-WINDOW-SELECTION-v1	datasets/processed/dna/GCF_000009045.1/window_05.dna	configs/campaigns/dna/reference/dna-bacillus_168-w05.yaml
dna-bacillus_168-w06	Bacillus subtilis 168	GCF_000009045.1	NC_000964.3	6	1600000	400000	800000	acgt_2bit	c92233de23f2063b62e300fdef275a1011a4fb70fe07017af4f022cb277ff9cf	59c09816fb55fb1a0b42d0715f627bb42018a19c6bf933c9cb37f6058ee4737e	ab1648f777b381b2552035aa9243c7085cd35acad6cb781a398163dfe0d94108	BIOENTROPY-HPC-DNA-WINDOW-SELECTION-v1	datasets/processed/dna/GCF_000009045.1/window_06.dna	configs/campaigns/dna/reference/dna-bacillus_168-w06.yaml
dna-bacillus_168-w07	Bacillus subtilis 168	GCF_000009045.1	NC_000964.3	7	1200000	400000	800000	acgt_2bit	f555c4a357a50561ce8994a03ebcc8d39a7be1395b64d349ff5bfe5bfb79ffed	59c09816fb55fb1a0b42d0715f627bb42018a19c6bf933c9cb37f6058ee4737e	c0d32f27069ce76ffd87c1a950c5668a5fcf26f5f2329fe54699983c5ea0c1f5	BIOENTROPY-HPC-DNA-WINDOW-SELECTION-v1	datasets/processed/dna/GCF_000009045.1/window_07.dna	configs/campaigns/dna/reference/dna-bacillus_168-w07.yaml
dna-bacillus_168-w08	Bacillus subtilis 168	GCF_000009045.1	NC_000964.3	8	2800000	400000	800000	acgt_2bit	998bbebd3e12070b15225e50bc181573a154be695b5139d8a153a453c97618f1	59c09816fb55fb1a0b42d0715f627bb42018a19c6bf933c9cb37f6058ee4737e	cafbe4f806b75204ea3e7bd4f1d445fbe0bfa3365d3e0c1bed05e2212781456f	BIOENTROPY-HPC-DNA-WINDOW-SELECTION-v1	datasets/processed/dna/GCF_000009045.1/window_08.dna	configs/campaigns/dna/reference/dna-bacillus_168-w08.yaml
dna-bacillus_168-w09	Bacillus subtilis 168	GCF_000009045.1	NC_000964.3	9	0	400000	800000	acgt_2bit	946622122a7a0c07a4147a03493db67c3a143b1c943bb463e38dd44785691763	59c09816fb55fb1a0b42d0715f627bb42018a19c6bf933c9cb37f6058ee4737e	e2242716aa8ef0a8b2d0dac9976ad316074c7e154c9c0e40966172fd7c9f8a20	BIOENTROPY-HPC-DNA-WINDOW-SELECTION-v1	datasets/processed/dna/GCF_000009045.1/window_09.dna	configs/campaigns/dna/reference/dna-bacillus_168-w09.yaml
dna-yeast_s288c-w00	Saccharomyces cerevisiae S288C	GCF_000146045.2	NC_001147.6	0	0	400000	800000	acgt_2bit	b640d50cfc399fb7c120a23870202eeee2313f91cb9d0df0d36d0ac76bed3512	fe42735d3e6242f8c40b457a232940e34ef15eb4502717e54a34ed118face4c1	05cd9fd3968293a0ff1be9a0c3a3e2ef2fb5ff257d27727960e14399b01ddc59	BIOENTROPY-HPC-DNA-WINDOW-SELECTION-v1	datasets/processed/dna/GCF_000146045.2/window_00.dna	configs/campaigns/dna/reference/dna-yeast_s288c-w00.yaml
dna-yeast_s288c-w01	Saccharomyces cerevisiae S288C	GCF_000146045.2	NC_001134.8	1	0	400000	800000	acgt_2bit	7912116956e29db84d94ed31847287858764c0d1ba554f9cd2a0eb4a6f9b5d36	fe42735d3e6242f8c40b457a232940e34ef15eb4502717e54a34ed118face4c1	16280c0c32d22ac4e176540ade9a72b346d2b8867c9a03f8425d08668a7e2979	BIOENTROPY-HPC-DNA-WINDOW-SELECTION-v1	datasets/processed/dna/GCF_000146045.2/window_01.dna	configs/campaigns/dna/reference/dna-yeast_s288c-w01.yaml
dna-yeast_s288c-w02	Saccharomyces cerevisiae S288C	GCF_000146045.2	NC_001141.2	2	0	400000	800000	acgt_2bit	cb50ec9eb6ac7fbc56048e1daa46503ba3ded0372ff0c9b87948df549c3dea5c	fe42735d3e6242f8c40b457a232940e34ef15eb4502717e54a34ed118face4c1	1883342989550cee22ecba2eaea25269f901c656e987528230aad907825dd7f4	BIOENTROPY-HPC-DNA-WINDOW-SELECTION-v1	datasets/processed/dna/GCF_000146045.2/window_02.dna	configs/campaigns/dna/reference/dna-yeast_s288c-w02.yaml
dna-yeast_s288c-w03	Saccharomyces cerevisiae S288C	GCF_000146045.2	NC_001144.5	3	0	400000	800000	acgt_2bit	da33ae408c35c2596d4da35fdbbc678f5e1c3e4e8ca16109d1691d9d222f25c2	fe42735d3e6242f8c40b457a232940e34ef15eb4502717e54a34ed118face4c1	2dd570c1f7e26707ecb9407e29394a07ac674adb6a66ace3fda1a87e5e203882	BIOENTROPY-HPC-DNA-WINDOW-SELECTION-v1	datasets/processed/dna/GCF_000146045.2/window_03.dna	configs/campaigns/dna/reference/dna-yeast_s288c-w03.yaml
dna-yeast_s288c-w04	Saccharomyces cerevisiae S288C	GCF_000146045.2	NC_001144.5	4	400000	400000	800000	acgt_2bit	77f12c617d8e2de7486a34902efa3305d8a076218a5840238ded280115314f0c	fe42735d3e6242f8c40b457a232940e34ef15eb4502717e54a34ed118face4c1	5cac700a0aeb63bfe1beab92ce2e67b7c1c0f0100fd206adc494a126c839764a	BIOENTROPY-HPC-DNA-WINDOW-SELECTION-v1	datasets/processed/dna/GCF_000146045.2/window_04.dna	configs/campaigns/dna/reference/dna-yeast_s288c-w04.yaml
dna-yeast_s288c-w05	Saccharomyces cerevisiae S288C	GCF_000146045.2	NC_001136.10	5	400000	400000	800000	acgt_2bit	46a4997ecc99699b4699022e8ed4dca375fced558b223bbe553d2b688805322c	fe42735d3e6242f8c40b457a232940e34ef15eb4502717e54a34ed118face4c1	634ce26a4bed805e21e6a1ce0b64373341bef6e78a1f819c8afe117856700fea	BIOENTROPY-HPC-DNA-WINDOW-SELECTION-v1	datasets/processed/dna/GCF_000146045.2/window_05.dna	configs/campaigns/dna/reference/dna-yeast_s288c-w05.yaml
dna-yeast_s288c-w06	Saccharomyces cerevisiae S288C	GCF_000146045.2	NC_001148.4	6	0	400000	800000	acgt_2bit	01f7b35792ef6caaebd7c41b4020a7e7c2facf04a0a2756b2367a4562508bb34	fe42735d3e6242f8c40b457a232940e34ef15eb4502717e54a34ed118face4c1	76ef9aed3f7c419baa64540380d50acbac03e67cf083905fd98dc960d16f0080	BIOENTROPY-HPC-DNA-WINDOW-SELECTION-v1	datasets/processed/dna/GCF_000146045.2/window_06.dna	configs/campaigns/dna/reference/dna-yeast_s288c-w06.yaml
dna-yeast_s288c-w07	Saccharomyces cerevisiae S288C	GCF_000146045.2	NC_001136.10	7	800000	400000	800000	acgt_2bit	8c1fabfd9cb836fc925cbdddd06c460fa8cb522e023ea8bd2fdb6bf541cfd3c2	fe42735d3e6242f8c40b457a232940e34ef15eb4502717e54a34ed118face4c1	7db29cda21b0d8219f2513fac16c6de2d1e1be5e4a4d337345d015c98a8fadaa	BIOENTROPY-HPC-DNA-WINDOW-SELECTION-v1	datasets/processed/dna/GCF_000146045.2/window_07.dna	configs/campaigns/dna/reference/dna-yeast_s288c-w07.yaml
dna-yeast_s288c-w08	Saccharomyces cerevisiae S288C	GCF_000146045.2	NC_001137.3	8	0	400000	800000	acgt_2bit	6a15345a1f2cb1ead1805e3950d6a62491729ea9d10955c1426c1098b3ccac3c	fe42735d3e6242f8c40b457a232940e34ef15eb4502717e54a34ed118face4c1	983ca591d85332a89069b77f284be83ade5b45b63bf74909adf29eb0fc511b51	BIOENTROPY-HPC-DNA-WINDOW-SELECTION-v1	datasets/processed/dna/GCF_000146045.2/window_08.dna	configs/campaigns/dna/reference/dna-yeast_s288c-w08.yaml
dna-yeast_s288c-w09	Saccharomyces cerevisiae S288C	GCF_000146045.2	NC_001139.9	9	400000	400000	800000	acgt_2bit	a3fde6fc39983e97d3a97fd5c018614f1aac4447611f306ab72de3059e84bc09	fe42735d3e6242f8c40b457a232940e34ef15eb4502717e54a34ed118face4c1	b8bd503e541de6534f27c1d06de96636e651430b1e7961cd5658a045a0e95af8	BIOENTROPY-HPC-DNA-WINDOW-SELECTION-v1	datasets/processed/dna/GCF_000146045.2/window_09.dna	configs/campaigns/dna/reference/dna-yeast_s288c-w09.yaml
dna-arabidopsis-w00	Arabidopsis thaliana TAIR10.1	GCF_000001735.4	NC_003075.7	0	12893262	400000	800000	acgt_2bit	7cb678a73e64e3674ba79c5d23ecad67f793fa68d89230b897e4ab372ba2540b	de99316d1d5597e9a5d40d943ff919c17d59b77116354a5d388b183b6f21075f	012c798fde16d04a7eb1b774097d658283965c30fe209b7f6638c1d25c361fbe	BIOENTROPY-HPC-DNA-WINDOW-SELECTION-v1	datasets/processed/dna/GCF_000001735.4/window_00.dna	configs/campaigns/dna/reference/dna-arabidopsis-w00.yaml
dna-arabidopsis-w01	Arabidopsis thaliana TAIR10.1	GCF_000001735.4	NC_003074.8	1	15532545	400000	800000	acgt_2bit	849cc16bfd8cac6baeeddd37e8f2858377d008c5bf9840d9410996f368b2295e	de99316d1d5597e9a5d40d943ff919c17d59b77116354a5d388b183b6f21075f	01cbce8efaaf60122aae139f916bbb3e49d5f725babbf45c476c390900c58f56	BIOENTROPY-HPC-DNA-WINDOW-SELECTION-v1	datasets/processed/dna/GCF_000001735.4/window_01.dna	configs/campaigns/dna/reference/dna-arabidopsis-w01.yaml
dna-arabidopsis-w02	Arabidopsis thaliana TAIR10.1	GCF_000001735.4	NC_003076.8	2	7200000	400000	800000	acgt_2bit	c3b4f525d5c8fc4f266061f189792501522dbf2258c77710d06e41c03ddebbc4	de99316d1d5597e9a5d40d943ff919c17d59b77116354a5d388b183b6f21075f	02f1951e32120a842d09878b6d2b178157d932f229b6ec18e61cb6e087a3361f	BIOENTROPY-HPC-DNA-WINDOW-SELECTION-v1	datasets/processed/dna/GCF_000001735.4/window_02.dna	configs/campaigns/dna/reference/dna-arabidopsis-w02.yaml
dna-arabidopsis-w03	Arabidopsis thaliana TAIR10.1	GCF_000001735.4	NC_003076.8	3	24437834	400000	800000	acgt_2bit	7ce2649f58afbded21d7dc9e27ba08870551013812740df8bb14ccedf96aa0e8	de99316d1d5597e9a5d40d943ff919c17d59b77116354a5d388b183b6f21075f	03e8f7b596018a8640d875d752a35ac55083dcd433c86dcaa3f478cb6969048d	BIOENTROPY-HPC-DNA-WINDOW-SELECTION-v1	datasets/processed/dna/GCF_000001735.4/window_03.dna	configs/campaigns/dna/reference/dna-arabidopsis-w03.yaml
dna-arabidopsis-w04	Arabidopsis thaliana TAIR10.1	GCF_000001735.4	NC_003074.8	4	21532545	400000	800000	acgt_2bit	e16c90e45fbf01da26b536ad4454dcf0b613c2541c784a5f73c2c406d0269b51	de99316d1d5597e9a5d40d943ff919c17d59b77116354a5d388b183b6f21075f	042e0f6b8a256ecaa1ed19b28df75ec5025ad84b09d28afc18720092b4d498f7	BIOENTROPY-HPC-DNA-WINDOW-SELECTION-v1	datasets/processed/dna/GCF_000001735.4/window_04.dna	configs/campaigns/dna/reference/dna-arabidopsis-w04.yaml
dna-arabidopsis-w05	Arabidopsis thaliana TAIR10.1	GCF_000001735.4	NC_003070.9	5	13201352	400000	800000	acgt_2bit	f135ff83b51cf9f4f5552fde446a24e3ce4f0a3a504a367fb36d0b9de8dfe3b6	de99316d1d5597e9a5d40d943ff919c17d59b77116354a5d388b183b6f21075f	044a4948e4a53582a2ed0a949ad1335d9060acbe18bdc291dcdd17f7a8ae9487	BIOENTROPY-HPC-DNA-WINDOW-SELECTION-v1	datasets/processed/dna/GCF_000001735.4/window_05.dna	configs/campaigns/dna/reference/dna-arabidopsis-w05.yaml
dna-arabidopsis-w06	Arabidopsis thaliana TAIR10.1	GCF_000001735.4	NC_003074.8	6	14220822	400000	800000	acgt_2bit	facb4d9e0993bc9c527e32f1e55f35ea3ed80482dee8d1f6eb267d599e2172f7	de99316d1d5597e9a5d40d943ff919c17d59b77116354a5d388b183b6f21075f	05de8f6a2a1341e52bf15d7048172ef21a2bbeb4d22546fbb50ac3fe4d638e39	BIOENTROPY-HPC-DNA-WINDOW-SELECTION-v1	datasets/processed/dna/GCF_000001735.4/window_06.dna	configs/campaigns/dna/reference/dna-arabidopsis-w06.yaml
dna-arabidopsis-w07	Arabidopsis thaliana TAIR10.1	GCF_000001735.4	NC_003071.7	7	12305854	400000	800000	acgt_2bit	efa9f5e4e475368550d45caca2b4b2de84d09abd1d2dfd387f1623eda2542b71	de99316d1d5597e9a5d40d943ff919c17d59b77116354a5d388b183b6f21075f	06504dc2d9d96b59a296211e6eadff34c94043045e9028b7ef8cf8cb04129e49	BIOENTROPY-HPC-DNA-WINDOW-SELECTION-v1	datasets/processed/dna/GCF_000001735.4/window_07.dna	configs/campaigns/dna/reference/dna-arabidopsis-w07.yaml
dna-arabidopsis-w08	Arabidopsis thaliana TAIR10.1	GCF_000001735.4	NC_003076.8	8	14037834	400000	800000	acgt_2bit	9c3a5faf90abbbc10e0e6fdf0c662ff35d8b1e6e0274c3189fed743f1236648b	de99316d1d5597e9a5d40d943ff919c17d59b77116354a5d388b183b6f21075f	06a3df6279354889037d783541d5815d988ad4073058e409d7b01ada6ea3fdc9	BIOENTROPY-HPC-DNA-WINDOW-SELECTION-v1	datasets/processed/dna/GCF_000001735.4/window_08.dna	configs/campaigns/dna/reference/dna-arabidopsis-w08.yaml
dna-arabidopsis-w09	Arabidopsis thaliana TAIR10.1	GCF_000001735.4	NC_003074.8	9	12554259	400000	800000	acgt_2bit	c2c04fe03c49a392dd74bd48f47b410c25e56e8d47f689941a45a43e4736761f	de99316d1d5597e9a5d40d943ff919c17d59b77116354a5d388b183b6f21075f	0706eb16aaedf7b8625f361b203eaa0a296aa9f2d91722b64a784468ad4c2997	BIOENTROPY-HPC-DNA-WINDOW-SELECTION-v1	datasets/processed/dna/GCF_000001735.4/window_09.dna	configs/campaigns/dna/reference/dna-arabidopsis-w09.yaml
dna-celegans-w00	Caenorhabditis elegans WBcel235	GCF_000002985.6	NC_003284.9	0	15200000	400000	800000	acgt_2bit	3bbfe2536d885aa6da6ce7094b0704974971f5c2585f9312dcbd2b4b691a097f	739d1fb774ef9f5a2de12fd16de3e559201d00d69502b7013d820584d9369220	011a5224ffc035033c761ddb55b8fc521569e0c1ce5a0c94b8fbf9ff682dde4c	BIOENTROPY-HPC-DNA-WINDOW-SELECTION-v1	datasets/processed/dna/GCF_000002985.6/window_00.dna	configs/campaigns/dna/reference/dna-celegans-w00.yaml
dna-celegans-w01	Caenorhabditis elegans WBcel235	GCF_000002985.6	NC_003283.11	1	4000000	400000	800000	acgt_2bit	fdc5eabb2de43dc5c9b9094a3664e0a5ef172ebaf192e79fb1aec6ff5e1112c6	739d1fb774ef9f5a2de12fd16de3e559201d00d69502b7013d820584d9369220	01f6a1f6c9c407140c8390389afd0e6cf69f5b6a66523bd9561e996318122238	BIOENTROPY-HPC-DNA-WINDOW-SELECTION-v1	datasets/processed/dna/GCF_000002985.6/window_01.dna	configs/campaigns/dna/reference/dna-celegans-w01.yaml
dna-celegans-w02	Caenorhabditis elegans WBcel235	GCF_000002985.6	NC_003284.9	2	14800000	400000	800000	acgt_2bit	d46cdbeff2e1abb1c2b2d1dd7d11f8ff27f43fde464c80d2be9f469bd6020e51	739d1fb774ef9f5a2de12fd16de3e559201d00d69502b7013d820584d9369220	022ffa4d314df194cd6194ec73dbdbdb0ba61c0af1cc1baae9ee89ba21e3d340	BIOENTROPY-HPC-DNA-WINDOW-SELECTION-v1	datasets/processed/dna/GCF_000002985.6/window_02.dna	configs/campaigns/dna/reference/dna-celegans-w02.yaml
dna-celegans-w03	Caenorhabditis elegans WBcel235	GCF_000002985.6	NC_003284.9	3	400000	400000	800000	acgt_2bit	72f2c7632f7935f75f5bb7c2a3d139ee0a0aa911209b1cc6be333992f27055f6	739d1fb774ef9f5a2de12fd16de3e559201d00d69502b7013d820584d9369220	05a09664726c08c21f7a1b65ec05b56503c1db92d72585d586ae9ae488e98032	BIOENTROPY-HPC-DNA-WINDOW-SELECTION-v1	datasets/processed/dna/GCF_000002985.6/window_03.dna	configs/campaigns/dna/reference/dna-celegans-w03.yaml
dna-celegans-w04	Caenorhabditis elegans WBcel235	GCF_000002985.6	NC_003279.8	4	7600000	400000	800000	acgt_2bit	fd4a8bdc0536228dc175d8d693e4744437191e4cdfcfa0e974fcd19184616a1a	739d1fb774ef9f5a2de12fd16de3e559201d00d69502b7013d820584d9369220	06080978472c5b6c60279a8eec858ac230b8e4df8511aeabb645ddf9a3b0d875	BIOENTROPY-HPC-DNA-WINDOW-SELECTION-v1	datasets/processed/dna/GCF_000002985.6/window_04.dna	configs/campaigns/dna/reference/dna-celegans-w04.yaml
dna-celegans-w05	Caenorhabditis elegans WBcel235	GCF_000002985.6	NC_003282.8	5	16800000	400000	800000	acgt_2bit	381885d50dad3ad349c112b400c600d0979bd675ee56b4c47d181502b86e094c	739d1fb774ef9f5a2de12fd16de3e559201d00d69502b7013d820584d9369220	066bff4195cb57c85e6a4c8d54c6c0ae067c25f74cc59449ba80fbd6d72fe97f	BIOENTROPY-HPC-DNA-WINDOW-SELECTION-v1	datasets/processed/dna/GCF_000002985.6/window_05.dna	configs/campaigns/dna/reference/dna-celegans-w05.yaml
dna-celegans-w06	Caenorhabditis elegans WBcel235	GCF_000002985.6	NC_003283.11	6	6800000	400000	800000	acgt_2bit	5fce56d11e89d83b720f06259631adddc1f7848c074e4443a478127f38e1dd02	739d1fb774ef9f5a2de12fd16de3e559201d00d69502b7013d820584d9369220	0694614d6caec86824a275b322f9c0d3a61fce95ca939e7a3c61e301d53fa6b4	BIOENTROPY-HPC-DNA-WINDOW-SELECTION-v1	datasets/processed/dna/GCF_000002985.6/window_06.dna	configs/campaigns/dna/reference/dna-celegans-w06.yaml
dna-celegans-w07	Caenorhabditis elegans WBcel235	GCF_000002985.6	NC_003282.8	7	3200000	400000	800000	acgt_2bit	f56ced1b62917d7124b27d5b0f740c3d67ee0d6c78eecfb47d3b94519276b552	739d1fb774ef9f5a2de12fd16de3e559201d00d69502b7013d820584d9369220	08f8c1023534a39a75af2aa3016b4eb82111b610e367d3813d0d4c00bf9b7ec8	BIOENTROPY-HPC-DNA-WINDOW-SELECTION-v1	datasets/processed/dna/GCF_000002985.6/window_07.dna	configs/campaigns/dna/reference/dna-celegans-w07.yaml
